2100: Haines, Alaska
8083: Montezuma, Colorado
13083: Dade, Georgia
17067: Hancock, Illinois
17091: Kankakee, Illinois
13199: Meriwether, Georgia
21083: Graves, Kentucky
20083: Hodgeman, Kansas
17083: Jersey, Illinois
19097: Jackson, Iowa
27091: Martin, Minnesota
22099: St Martin, Louisiana
29195: Saline, Missouri
39041: Delaware, Ohio
28141: Tishomingo, Mississippi
35041: Roosevelt, New Mexico
26099: Macomb, Michigan
40083: Logan, Oklahoma
13283: Treutlen, Georgia
19183: Washington, Iowa
26083: Keweenaw, Michigan
37195: Wilson, North Carolina
46095: Mellette, South Dakota
1095: Marshall, Alabama
29095: Jackson, Missouri
39095: Lucas, Ohio
27095: Mille Lacs, Minnesota
22095: St John The Baptist, Louisiana
42095: Northampton, Pennsylvania
37099: Jackson, North Carolina
48199: Hardin, Texas
20099: Labette, Kansas
5099: Nevada, Arkansas
48291: Liberty, Texas
26091: Lenawee, Michigan
29091: Howell, Missouri
1091: Marengo, Alabama
20191: Sumner, Kansas
36099: Seneca, New York
48367: Parker, Texas
39067: Harrison, Ohio
26067: Ionia, Michigan
21067: Fayette, Kentucky
16067: Minidoka, Idaho
21167: Mercer, Kentucky
29067: Douglas, Missouri
48267: Kimble, Texas
38067: Pembina, North Dakota
13167: Johnson, Georgia
2068: Denali, Alaska
47069: Hardeman, Tennessee
30069: Petroleum, Montana
19169: Story, Iowa
46069: Hyde, South Dakota
48399: Runnels, Texas
18099: Marshall, Indiana
31099: Kearney, Nebraska
17199: Williamson, Illinois
28099: Neshoba, Mississippi
38099: Walsh, North Dakota
48497: Wise, Texas
28097: Montgomery, Mississippi
51069: Frederick, Virginia
17069: Hardin, Illinois
37169: Stokes, North Carolina
40069: Johnston, Oklahoma
21069: Fleming, Kentucky
26069: Iosco, Michigan
39069: Henry, Ohio
18169: Wabash, Indiana
51091: Highland, Virginia
21191: Pendleton, Kentucky
37091: Hertford, North Carolina
39091: Logan, Ohio
48491: Williamson, Texas
30091: Sheridan, Montana
47091: Johnson, Tennessee
48191: Hall, Texas
17191: Wayne, Illinois
13191: McIntosh, Georgia
36091: Saratoga, New York
21091: Hancock, Kentucky
31091: Hooker, Nebraska
20091: Johnson, Kansas
37191: Wayne, North Carolina
45091: York, South Carolina
51183: Sussex, Virginia
16083: Twin Falls, Idaho
48083: Coleman, Texas
38083: Sheridan, North Dakota
51083: Halifax, Virginia
13183: Long, Georgia
45083: Spartanburg, South Carolina
18083: Knox, Indiana
13297: Walton, Georgia
51595: Emporia City, Virginia
48095: Concho, Texas
17095: Knox, Illinois
51195: Wise, Virginia
13095: Dougherty, Georgia
17195: Whiteside, Illinois
51097: King and Queen, Virginia
40097: Mayes, Oklahoma
36097: Schuyler, New York
29097: Jasper, Missouri
51099: King George, Virginia
51600: Fairfax City, Virginia
51800: Suffolk City, Virginia
51700: Newport News City, Virginia
47001: Anderson, Tennessee
42001: Adams, Pennsylvania
35001: Bernalillo, New Mexico
54069: Ohio, West Virginia
16069: Nez Perce, Idaho
17169: Schuyler, Illinois
51169: Scott, Virginia
13269: Taylor, Georgia
13069: Coffee, Georgia
31169: Thayer, Nebraska
45069: Marlboro, South Carolina
21169: Metcalfe, Kentucky
48169: Garza, Texas
18069: Huntington, Indiana
22069: Natchitoches, Louisiana
41069: Wheeler, Oregon
42069: Lackawanna, Pennsylvania
48069: Castro, Texas
53069: Wahkiakum, Washington
36069: Ontario, New York
48269: King, Texas
48469: Victoria, Texas
13169: Jones, Georgia
28069: Kemper, Mississippi
39169: Wayne, Ohio
47169: Trousdale, Tennessee
19069: Franklin, Iowa
29169: Pulaski, Missouri
38069: Pierce, North Dakota
20169: Saline, Kansas
